"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"1"	"134015185"	"2008-06-04 00:00:00.000"	59	"M"	"S"	"N"	0	"4150-441"	"PORTO"	"Porto"
"2"	"8726221"	"2008-01-01 00:00:00.000"	58	"F"	"S"	"N"	0	"4250-454"	"PORTO"	"PORTO"
"3"	"100132081"	"2009-11-20 00:00:00.000"	16	"F"	"S"	"N"	0	"4050-181"	"PORTO"	"PORTO"
"4"	"100150624"	"2008-08-05 00:00:00.000"	53	"M"	"S"	"Y"	1	"4515-578"	"PORTO"	"MELRES"
"5"	"100264336"	"2010-05-16 00:00:00.000"	79	"M"	""	"N"	0	"4400-316"	"PORTO"	"V.N.GAIA"
"6"	"100264441"	"2011-03-09 00:00:00.000"	69	"F"	""	"N"	0	"4200-139"	"PORTO"	"PORTO"
"7"	"100340814"	"2013-09-30 00:00:00.000"	53	"M"	"S"	"N"	0	"4100-436"	"PORTO"	"PORTO"
"8"	"100359949"	"2009-11-20 00:00:00.000"	59	"M"	""	"N"	0	"4440-624"	"PORTO"	"VALONGO"
"9"	"100360289"	"2011-08-17 00:00:00.000"	65	"F"	"M"	"Y"	1	"4425-662"	"PORTO"	"MAIA"
"10"	"100361110"	"2013-08-28 00:00:00.000"	71	"M"	""	"N"	0	"4200-133"	"PORTO"	"PORTO"
"11"	"100368220"	"2011-08-17 00:00:00.000"	52	"M"	"M"	"Y"	1	"4910-267"	"OUTROS"	"MOLEDO CMN"
"12"	"100369529"	"2011-11-24 00:00:00.000"	54	"M"	"M"	"Y"	4	"4300-009"	"PORTO"	"PORTO"
"13"	"100369790"	"2013-07-10 00:00:00.000"	60	"F"	"S"	"Y"	2	"4000-350"	"PORTO"	"PORTO"
"14"	"100370136"	"2009-05-04 00:00:00.000"	59	"F"	"S"	"N"	1	"4470-136"	"PORTO"	"MAIA"
"15"	"100370616"	"2013-01-31 00:00:00.000"	57	"M"	"M"	"Y"	2	"4150-278"	"PORTO"	"PORTO"
"16"	"100371035"	"2008-01-01 00:00:00.000"	65	"F"	""	"N"	0	"4000-250"	"PORTO"	"PORTO"
"17"	"100372422"	"2013-01-31 00:00:00.000"	67	"M"	"M"	"N"	1	"4100-395"	"PORTO"	"PORTO"
"18"	"100400710"	"2011-11-24 00:00:00.000"	63	"F"	"M"	"Y"	4	"4435-413"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"19"	"100405843"	"2013-09-30 00:00:00.000"	69	"M"	""	"N"	0	"4150-449"	"PORTO"	"PORTO"
"20"	"100407161"	"2013-10-31 00:00:00.000"	57	"F"	""	"Y"	3	"4000-020"	"PORTO"	"PORTO"
"21"	"100418708"	"2009-02-11 00:00:00.000"	48	"F"	""	"Y"	1	"4400-117"	"PORTO"	"V.N.GAIA"
"22"	"100418937"	"2009-06-12 00:00:00.000"	57	"M"	"M"	"Y"	1	"4000-457"	"PORTO"	"PORTO"
"23"	"100452663"	"2014-04-01 00:00:00.000"	63	"F"	"S"	"N"	0	"4510-625"	"PORTO"	"FÂNZERES"
"24"	"100483682"	"2013-03-17 00:00:00.000"	65	"M"	""	"Y"	4	"4435-383"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"25"	"100484123"	"2008-10-09 00:00:00.000"	64	"F"	"M"	"N"	0	"4745-097"	"PORTO"	"ALVARELHOS TRF"
"26"	"100484271"	"2010-04-02 00:00:00.000"	59	"M"	"S"	"N"	0	"4465-092"	"PORTO"	"SÃO MAMEDE DE INFESTA"
"27"	"100484484"	"2009-07-21 00:00:00.000"	64	"F"	"M"	"N"	1	"4250-019"	"PORTO"	"PORTO"
